Track_ID,Track_Name,Duration_Min,Artists,Release_Date,Year,Query
6dBUzqjtbnIa1TwYbyw5CM,Lovers Rock,3.57,TV Girl,6/5/2014,2014,love
5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,3.94,"Ariana Grande, The Weeknd",8/22/2014,2014,love
2e3Ea0o24lReQFR4FA7yXH,Love Yourz,3.52,J. Cole,12/9/2014,2014,love
6nGeLlakfzlBcFdZXteDq7,Love Story,5.27,Indila,1/1/2014,2014,love
5BJSZocnCeSNeYMj3iVqM7,Love Runs Out,3.74,OneRepublic,1/1/2014,2014,love
48td6xvpokdYwvbl3JIiXP,Love Never Felt So Good,4.11,"Michael Jackson, Justin Timberlake",5/9/2014,2014,love
3sslYZcFKtUvIEWN9lADgr,First Love/Late Spring,4.64,Mitski,11/11/2014,2014,love
7jXaTTqkOupMhGhQdyXDTN,Love Somebody (feat. Young Thug),3.54,"Gucci Mane, Young Thug",5/26/2014,2014,love
2i2zYdN4KCkTCDscdMYr87,Lovers on the Sun (feat. Sam Martin),3.39,"David Guetta, Sam Martin",11/10/2014,2014,love
0KBsyEAb5ORTJrGfc3smu4,Love Story - Version Orchestrale,4.97,Indila,11/17/2014,2014,love
0S5EEpFAHcT7cm5XOASc29,Love Never Felt So Good,3.92,Michael Jackson,5/9/2014,2014,love
62ke5zFUJN6RvtXZgVH0F8,Only Love Can Hurt Like This,3.88,Paloma Faith,3/10/2014,2014,love
2MDueMvPkUTpU6Xkmeinln,Love More (feat. Nicki Minaj),3.16,"Chris Brown, Nicki Minaj",9/16/2014,2014,love
4N1MFKjziFHH4IS3RYYUrU,My Love,4.33,"Route 94, Jess Glynne",2/28/2014,2014,love
6jG2YzhxptolDzLHTGLt7S,Drunk in Love (feat. JAY-Z),5.39,"Beyoncé, JAŸ-Z",11/24/2014,2014,love
1FWD08y0cTKR31BNn8awLt,Fanática Sensual,4.01,Plan B,9/9/2014,2014,love
5MYPciceOHMd7Vl7ntELEq,Candy,3.46,Plan B,9/9/2014,2014,love
6IDDwI0YOCAUDhMZltQekS,Love Don't Die,3.05,The Fray,2/24/2014,2014,love
5Hm2xN1TlvWsnVMFEpyg0O,Love Test,4.15,The Growlers,9/23/2014,2014,love
53cV42h1U35QKMpRCwjRa3,Love Story - Version Orchestrale,4.97,Indila,11/17/2014,2014,love
7G7YIFDaeXHDrtVad2YWCC,Love 'Em All,4.1,K. Michelle,12/9/2014,2014,love
294pxweq9pggAO32OQVgYw,I Luv This Shit - Remix (Bonus Track),4.44,"August Alsina, Trey Songz, Chris Brown",1/1/2014,2014,love
7ewfvLrlI0VNht4vEnoTMh,No Love,4.6,"August Alsina, Nicki Minaj",8/5/2014,2014,love
15actjx4Wa7QVrq75SURHV,Choca,3.68,Plan B,9/9/2014,2014,love
7lAoovVf67mECK18oOpJbc,Love You Like A Love Song,3.14,Selena Gomez & The Scene,11/21/2014,2014,love
5L9aJ9iKGg83D60s92fWhw,Love On The Rocks,3.61,Neil Diamond,7/8/2014,2014,love
2KfdXkLFx4Zfzt4xG1RQGz,"Love, Lust, And Liars",3.37,I Prevail,12/16/2014,2014,love
1QZRCi2Z1DQQaR6bGAzhtN,Love Dose,3.74,Yo Yo Honey Singh,9/26/2014,2014,love
2Rs0kUUwuisGeuiKXcGUN6,Love Someone,4.28,Jason Mraz,7/11/2014,2014,love
4tVycdWXDOb0j2A9NQLmjl,Love Robbery,3.05,Kalin and Myles,6/17/2014,2014,love
1sYLpN0GszwDku34hfTFF2,Love Song,4.11,"Micah G, Caleb",7/29/2014,2014,love
27uBwOJbW6kHsCbKGukxMK,At The Cross (Love Ran Red),4.18,Chris Tomlin,10/27/2014,2014,love
4OxtqhSBnOsgGc1yfYAfOn,Lovely Day,4.03,alt-J,9/22/2014,2014,love
5iptcoD2Oi6gY3pyW1xKgL,Mi Vecinita,3.04,Plan B,9/9/2014,2014,love
5imUTBF35uIoABlV9g9da2,Fall In Love,3.72,Phantogram,2/18/2014,2014,love
6MW2WSRjWYIb2vnT5YMkht,Love And Sex,4.06,Plan B,9/9/2014,2014,love
7ngdkrVQPgP3AoIxUrTpHT,Who Do You Love?,3.89,"YG, Drake",3/18/2014,2014,love
5z8qQvLYEehH19vNOoFAPb,Love You Like the Movies,3.8,Anthem Lights,10/14/2014,2014,love
3Ge5d1wjVb8yrMl9Yt9PVt,English Love Affair,3.02,5 Seconds of Summer,6/27/2014,2014,love
6KQCyrOWCGn153E1rC1crg,Love is Crucial,3.72,Iya Terra,1/1/2014,2014,love
5SE62j47eAyxSOplRGS6st,Fronteo,3.4,Plan B,9/9/2014,2014,love
1YTU6H9mLYZZMP78x5V7KC,Lovely,3.68,"Vishal-Shekhar, Kanika Kapoor, Ravindra Upadhyay, Miraya Varma, Fateh, Zeus, Kumaar, Jiwan Mann",9/26/2014,2014,love
5rTCsm8EqbrWUmTWe0XlEu,Love Yourz,3.53,J. Cole,12/9/2014,2014,love
0FZmAvivvifvtN3pZScbw1,Drunk in Love Remix (feat. JAY-Z & Kanye West),6.6,"Beyoncé, JAŸ-Z, Kanye West",11/24/2014,2014,love
73AP2Vw9LIjsFAGE9CHv8t,Love Ain't Enough,4.85,The Barr Brothers,10/6/2014,2014,love
4n2bcosyUN2mMAqovwqKRP,Tryin' to Love Me,3.76,Jason Aldean,10/7/2014,2014,love
5O2P9iiztwhomNh8xkR9lJ,Night Changes,3.78,One Direction,11/17/2014,2014,night
3idU3rXoFCEFhAAbPGbwht,The Night Is Still Young,3.79,Nicki Minaj,12/12/2014,2014,night
4bBrKDo8rchikwZOtmXbIH,The Night Is Still Young,3.79,Nicki Minaj,12/15/2014,2014,night
1xBRGN41DWx2vwNFY5CvGe,Night Witches,3.02,Sabaton,5/16/2014,2014,night
6Xa2q0dapj03CsRzmD0Os5,Fight Night,3.6,Migos,2/25/2014,2014,night
6PF76O9goNY1WrToDafmy9,Night & Day,4.22,Tribal Seeds,5/13/2014,2014,night
6qewYf1Su9xeaAp9iEQpUw,Up All Night,3.49,Jon Pardi,1/1/2014,2014,night
