Track_ID,Track_Name,Duration_Min,Artists,Release_Date,Year,Query
2DkKddV2e952EAteyuV0wP,Love For You,2.84,"LOVELI LORI, ovg!",2022-05-21,2022,love
5t8M1Ktl6TkrAAKVmYlc3E,Love Ain't,3.12,Eli Young Band,2022-06-03,2022,love
6WVdae8LbPfpOXAWuYdMnT,Love Lost,2.71,"Mac Miller, The Temper Trap",2022-07-22,2022,love
1cAupeTLZyhhtfmRc4qaYy,Love You Again,2.89,Chase Matthew,2022-12-09,2022,love
293mQGfVwgXIOdA1GpiwAt,Love & War,3.99,Kodak Black,2022-02-25,2022,love
3fcX3E9l1gVnfKeWaEzHHv,Love Galore (Alt Version),4.56,SZA,2022-06-09,2022,love
5XFoaqV1Z8XaLJidchVWhh,love.,5.48,Kid Cudi,2022-07-08,2022,love
1eIXYZWEfJO3Na2LCCnIJE,Love Language,3.06,SZA,2022-12-09,2022,love
4XJRpBOG0bU3Nxnvam3FnC,LOVE YOU BETTER,2.16,Future,2022-04-29,2022,love
1mw0RgNXIpYRyyCdBQbLgA,Love Of My Life,3.19,Harry Styles,2022-05-20,2022,love
4g7uE1BkN98EZq02UqPX7y,Love Song,2.72,Sticky Fingers,2022-04-20,2022,love
72TN6UlbEoszqyNLtnWnk6,情歌,5.03,Justin Lo,2022-08-05,2022,love
1FaFvYaqcgG2PpVSz4slue,Honey,4.61,The Lone Bellow,2022-11-04,2022,love
2qkb3hhx8iCBvYzX9SvVxj,Lovesong,4.09,beabadoobee,2022-07-15,2022,love
6O8ruguZUmWuDNXQirdLWh,Not Another Love Song,4.25,Ella Mai,2022-05-06,2022,love
5ZF6l3xKi3m6YK2dDXAsR5,Love Me Back (Fayahh Beat),3.23,"Trinidad Cardona, Robinson",2022-04-04,2022,love
5FwJ3Oevf84jNZE4kJ6mKh,Love Overdose,2.37,Rod Wave,2022-11-18,2022,love
6WHnRUP50lknLlJBD75SdV,Sweet Nothing - Piano Version,1.71,Laura Sullivan,2022-11-17,2022,love
1CKfCj9izL24zGTrO6QTFE,Love Is The Way,3.0,Thee Sacred Souls,2022-10-20,2022,love
7jlPfhpd0tVCeaqBtmwFOA,Love Me Back (Fayahh Beat) - Slowed + Reverb,3.04,"Trinidad Cardona, Robinson, xxtristanxo, Slowed Radio",2022-07-15,2022,love
16MQETUgqXwY4lZcyRafU3,Love Me More,3.18,Sam Smith,2022-04-28,2022,love
4PUT0cH2iggaje5hTJZeGe,Love Me More,3.54,Mitski,2022-02-04,2022,love
11Y4VVU6MTBtuSO116rsfG,Love Me Easy,2.83,"ANORA, Stick Figure, Walshy Fire",2022-03-04,2022,love
4qgMPzf9QOETWQFUcFkHD4,Love Me,3.46,RealestK,2022-02-18,2022,love
7naseusM9pguk5GYGzYQCn,Love Me,3.46,RealestK,2022-10-28,2022,love
3aoZg6tWk6oV6FdtQkyNmt,Love Me Now (feat. Zoe Wees),3.26,"Kygo, Zoe Wees",2022-11-11,2022,love
461uGnpHqAbSRC0SuNruAf,Love Me (When You're Gone),2.63,WHALES•TALK,2022-06-24,2022,love
0GJog3Qugb389yWsmfGGXO,Love Mercy - Instrumental,2.77,"Hillside Recording, Jared Humphers",2022-04-08,2022,love
0KGx2g8mPOxJQzBkbUNkds,Love Myself,2.38,Hunxho,2022-06-16,2022,love
7kUQTTXyfQehPumtGpQdLJ,Love Myself (feat. Kevin Gates),2.97,"DDG, Kevin Gates",2022-09-30,2022,love
383mONvu8xFnFUFRgUnmaa,Love my baby,2.03,Nic D,2022-10-28,2022,love
7ByxizhA4GgEf7Sxomxhze,All My Love,4.19,Noah Kahan,2022-10-14,2022,love
